area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.991071429,0.991071429
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.933035714,0.933035714
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,All Wired,0.995535714,0.995535714,0.995535714,0.995535714,0.991071429,0.991071429
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,All Wired,0.950892857,0.950892857,0.950892857,0.946428571,0.933035714,0.933035714
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Any Terrestrial,0.995535714,0.995535714,0.995535714,0.995535714,0.991071429,0.991071429
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Any Terrestrial,0.964285714,0.959821429,0.959821429,0.946428571,0.933035714,0.933035714
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,All Wired and Licensed Fixed Wireless,0.995535714,0.995535714,0.995535714,0.995535714,0.991071429,0.991071429
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,All Wired and Licensed Fixed Wireless,0.964285714,0.959821429,0.959821429,0.946428571,0.933035714,0.933035714
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Copper,0.013392857,0.008928571,0.004464286,0,0,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Copper,0.013392857,0.008928571,0.004464286,0,0.000000000,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Cable/Fiber,0.995535714,0.995535714,0.995535714,0.995535714,0.991071429,0.991071429
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Cable/Fiber,0.946428571,0.946428571,0.946428571,0.946428571,0.933035714,0.933035714
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Cable,0.245535714,0.245535714,0.245535714,0.245535714,0,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Cable,0.245535714,0.245535714,0.245535714,0.245535714,0.000000000,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Fiber,0.991071429,0.991071429,0.991071429,0.991071429,0.991071429,0.991071429
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Fiber,0.933035714,0.933035714,0.933035714,0.933035714,0.933035714,0.933035714
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,All Fixed Wireless,0.388392857,0.366071429,0.366071429,0,0,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,All Fixed Wireless,0.468750000,0.441964286,0.397321429,0.000000000,0,0
