provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
130002,"3 Rivers Telephone Cooperative, Inc.",10,Copper,3615,4957,3615,4957
130002,"3 Rivers Telephone Cooperative, Inc.",50,Fiber to the Premises,17739,21114,17739,21114
130008,Ace Telephone Association,10,Copper,16189,18733,16189,18733
130008,Ace Telephone Association,50,Fiber to the Premises,30202,36217,30202,36217
130008,Ace Telephone Association,70,Unlicensed Fixed Wireless,229,242,229,242
130008,Ace Telephone Association,72,LBR Fixed Wireless,60,63,60,63
130011,"Adak Eagle Enterprises, LLC",50,Fiber to the Premises,301,302,35,36
130012,Adams Telephone Co-Operative,50,Fiber to the Premises,31333,39287,31333,39287
130017,Agate Mutual Telephone Cooperative Association,10,Copper,73,75,73,75
130017,Agate Mutual Telephone Cooperative Association,50,Fiber to the Premises,94,100,94,100
130018,"Agri-Valley Communications, Inc.",10,Copper,4948,5495,921,1211
130018,"Agri-Valley Communications, Inc.",50,Fiber to the Premises,6711,7924,1486,2471
130018,"Agri-Valley Communications, Inc.",71,Licensed Fixed Wireless,27955,32969,27955,32969
130019,"Air Advantage, LLC",50,Fiber to the Premises,2413,3068,2413,3068
130019,"Air Advantage, LLC",70,Unlicensed Fixed Wireless,7133,9501,6903,9314
130019,"Air Advantage, LLC",72,LBR Fixed Wireless,29444,36632,29283,36449
130029,Alaska Power & Telephone Company,10,Copper,3930,3982,752,758
130029,Alaska Power & Telephone Company,50,Fiber to the Premises,3866,3985,758,768
130029,Alaska Power & Telephone Company,70,Unlicensed Fixed Wireless,98,98,48,48
130030,"Covington Electric Cooperative, Inc.",50,Fiber to the Premises,24841,27259,24841,27259
130031,Albany Mutual Telephone Association,50,Fiber to the Premises,5470,6461,5470,6461
130032,"Albion Telephone Company, Inc.",10,Copper,1330,1420,1330,1420
130032,"Albion Telephone Company, Inc.",50,Fiber to the Premises,5177,5497,34352,76635
130032,"Albion Telephone Company, Inc.",70,Unlicensed Fixed Wireless,625,666,625,666
130034,"Alenco Communications, Inc.",10,Copper,10,28,10,28
130034,"Alenco Communications, Inc.",50,Fiber to the Premises,15962,19353,15962,19353
130034,"Alenco Communications, Inc.",70,Unlicensed Fixed Wireless,16336,18187,16336,18187
130034,"Alenco Communications, Inc.",71,Licensed Fixed Wireless,3338,3728,3338,3728
130034,"Alenco Communications, Inc.",72,LBR Fixed Wireless,2293,2806,2293,2806
130035,Algona Municipal Utilities,40,Cable,2088,2237,153,176
130035,Algona Municipal Utilities,50,Fiber to the Premises,556,591,266,403
130036,"Alhambra-Grantfork Communications, Inc.",40,Cable,366,369,366,369
130036,"Alhambra-Grantfork Communications, Inc.",50,Fiber to the Premises,3083,3149,3083,3149
130037,"All West Communications, Inc.",10,Copper,8095,8316,8095,8316
130037,"All West Communications, Inc.",40,Cable,20335,25948,20335,25948
130037,"All West Communications, Inc.",50,Fiber to the Premises,28497,34070,28497,34070
130037,"All West Communications, Inc.",70,Unlicensed Fixed Wireless,85,85,85,85
130039,"Allen's TV Cable Service, Inc.",40,Cable,20460,24809,20460,24809
130039,"Allen's TV Cable Service, Inc.",50,Fiber to the Premises,6190,7598,6190,7598
130040,"Alliance Communications Cooperative, Inc.",50,Fiber to the Premises,21764,27256,21764,27256
130043,Alma Communications Company,50,Fiber to the Premises,388,395,388,395
130043,Alma Communications Company,70,Unlicensed Fixed Wireless,333,359,333,359
130044,"Alma Telecom, Inc.",10,Copper,1960,2361,1960,2361
130044,"Alma Telecom, Inc.",40,Cable,11300,12849,11300,12849
130044,"Alma Telecom, Inc.",50,Fiber to the Premises,9372,11360,9372,11360
130045,"Alpine Communications, LLC",10,Copper,540,562,540,562
130045,"Alpine Communications, LLC",50,Fiber to the Premises,7736,8126,7736,8126
130045,"Alpine Communications, LLC",72,LBR Fixed Wireless,961,1044,961,1044
130046,Alta Municipal Utilities,40,Cable,767,864,120,150
130046,Alta Municipal Utilities,50,Fiber to the Premises,0,0,3,4
130057,"Amery Telcom, Inc.",40,Cable,5086,5718,5086,5718
130057,"Amery Telcom, Inc.",50,Fiber to the Premises,15084,16580,15084,16580
130058,Amherst Telephone Company,10,Copper,1066,1152,1066,1152
130058,Amherst Telephone Company,50,Fiber to the Premises,15764,17875,15764,17875
130059,"Amplex Electric, Inc.",10,Copper,70,82,70,82
130059,"Amplex Electric, Inc.",50,Fiber to the Premises,10800,11381,10800,11381
130059,"Amplex Electric, Inc.",70,Unlicensed Fixed Wireless,1149,1182,1149,1182
130059,"Amplex Electric, Inc.",71,Licensed Fixed Wireless,125566,156826,125566,156826
130059,"Amplex Electric, Inc.",72,LBR Fixed Wireless,1417,1505,1417,1505
130065,Arapahoe Telephone Company,10,Copper,2195,2413,2195,2413
130065,Arapahoe Telephone Company,40,Cable,382,404,382,404
130065,Arapahoe Telephone Company,50,Fiber to the Premises,1354,1480,1354,1480
130065,Arapahoe Telephone Company,70,Unlicensed Fixed Wireless,643,675,643,675
130065,Arapahoe Telephone Company,71,Licensed Fixed Wireless,34597,40499,34599,40501
130065,Arapahoe Telephone Company,72,LBR Fixed Wireless,1591,1766,1591,1766
130067,"Arctic Slope Telephone Association Cooperative, Inc.",10,Copper,284,289,107,109
130067,"Arctic Slope Telephone Association Cooperative, Inc.",50,Fiber to the Premises,1844,1937,678,709
130068,"Synergy Technology Partners, inc.",10,Copper,13541,14718,13541,14718
130068,"Synergy Technology Partners, inc.",50,Fiber to the Premises,56078,61754,56078,61754
130069,"Arkansas Telephone Company, Inc.",10,Copper,4625,4832,605,823
130069,"Arkansas Telephone Company, Inc.",50,Fiber to the Premises,3669,3801,471,714
130070,"Spectracomm, Inc.",50,Fiber to the Premises,5727,6063,5727,6063
130071,"Armstrong Holdings, Inc.",10,Copper,12202,13840,12202,13840
130071,"Armstrong Holdings, Inc.",40,Cable,302567,365912,302567,365912
130071,"Armstrong Holdings, Inc.",50,Fiber to the Premises,157270,188376,160455,193271
130073,Arthur Mutual Telephone Company,50,Fiber to the Premises,2707,2799,2707,2799
130074,"Arvig Enterprises, Inc.",10,Copper,64142,71559,64142,71559
130074,"Arvig Enterprises, Inc.",40,Cable,33895,39426,33895,39426
130074,"Arvig Enterprises, Inc.",50,Fiber to the Premises,54370,63551,54370,63551
130074,"Arvig Enterprises, Inc.",70,Unlicensed Fixed Wireless,7422,9832,7422,9832
130074,"Arvig Enterprises, Inc.",71,Licensed Fixed Wireless,16475,19984,16475,19984
130074,"Arvig Enterprises, Inc.",72,LBR Fixed Wireless,38451,54907,38451,54907
130077,AT&T Inc.,10,Copper,24960966,36839646,24960966,36839646
130077,AT&T Inc.,50,Fiber to the Premises,16872571,21030950,16872571,21030950
130077,AT&T Inc.,71,Licensed Fixed Wireless,15075364,24485008,11944921,28454717
130079,"Radiate Holdings, LP",10,Copper,13161,44809,13161,44809
130079,"Radiate Holdings, LP",40,Cable,2451514,5134751,2451514,5134751
130079,"Radiate Holdings, LP",50,Fiber to the Premises,265728,922574,265728,922574
